Code	Name	Lat	Lon
001	Вознесенский просп. 1	59.935571	30.308397
002	Лиговский просп. 153 (ТЦ "Лиговъ")	59.915294	30.347769
003	Греческая площадь Автостоянка №12	59.936461	30.365240
004	Загородный просп. 74	59.916826	30.318685
005	ст. метро «Лиговский проспект»	59.921068	30.355049
006	Малая Морская ул. 4/1 лит.А	59.936390	30.314651
007	Марсово поле 3	59.943055	30.329246
008	Невский просп. 177	59.923655	30.383871
009	Невский просп. 35	59.934226	30.334188
010	Площадь Восстания	59.930909	30.363182
011	Новочеркасский просп. 41/14	59.929152	30.410870
012	Площадь Балтийского вокзала	59.908283	30.300456
013	Лиговский просп. 16 (Московский Вокзал)	59.930091	30.360746
014	Площадь Искусств 3	59.937467	30.329606
015	ул. Комсомола 35 (Площадь Ленина)	59.954954	30.357438
016	ст. метро «Петроградская» (Площадь Льва Толстого)	59.966039	30.311652
017	Площадь Островского Автостоянка №14 1	59.932268	30.335521
018	Площадь Труда 6	59.931364	30.293323
019	ст. метро «Крестовский остров» (Морской просп. 45)	59.971345	30.259356
020	Сенная площадь 5	59.927412	30.318503
021	Синопская наб. (просп. Бакунина 35)	59.931309	30.388938
022	1-я Советская ул. 7/124	59.930726	30.365271
023	ст. метро «Василеостровская»	59.942661	30.279114
024	ст. метро «Горьковская»	59.956330	30.319335
025	ст. метро «Приморская»	59.948685	30.234437
026	ст. метро «Спортивная»	59.951502	30.292799
027	ст. метро «Чкаловская»	59.960882	30.291657
028	Чернышевского просп 20	59.944807	30.359515
029	Кораблестроителей ул. Park Inn	59.939368	30.216993
